country_name,wiki_title,wiki_url
Liberia,Liberia,https://en.wikipedia.org/wiki/Liberia
Libya,Libya,https://en.wikipedia.org/wiki/Libya
Liechtenstein,Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Lithuania,Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Madagascar,Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,Malawi,https://en.wikipedia.org/wiki/Malawi
Malaysia,Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,Maldives,https://en.wikipedia.org/wiki/Maldives
Mali,Mali,https://en.wikipedia.org/wiki/Mali
Malta,Malta,https://en.wikipedia.org/wiki/Malta
Marshall Islands,Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Mauritania,Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mauritius,Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mexico,Mexico,https://en.wikipedia.org/wiki/Mexico
Micronesia,Micronesia,https://en.wikipedia.org/wiki/Micronesia
Moldova,Moldova,https://en.wikipedia.org/wiki/Moldova
Monaco,Monaco,https://en.wikipedia.org/wiki/Monaco
Mongolia,Mongolia,https://en.wikipedia.org/wiki/Mongolia
Montenegro,Montenegro,https://en.wikipedia.org/wiki/Montenegro
Morocco,Morocco,https://en.wikipedia.org/wiki/Morocco
Mozambique,Mozambique,https://en.wikipedia.org/wiki/Mozambique
Myanmar,Myanmar,https://en.wikipedia.org/wiki/Myanmar
Namibia,Namibia,https://en.wikipedia.org/wiki/Namibia
Nauru,Nauru,https://en.wikipedia.org/wiki/Nauru
Nepal,Nepal,https://en.wikipedia.org/wiki/Nepal
Netherlands,Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Nicaragua,Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Niger,Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,Nigeria,https://en.wikipedia.org/wiki/Nigeria
North Korea,North Korea,https://en.wikipedia.org/wiki/North_Korea
North Macedonia,North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Norway,Norway,https://en.wikipedia.org/wiki/Norway
Oman,Oman,https://en.wikipedia.org/wiki/Oman
Pakistan,Pakistan,https://en.wikipedia.org/wiki/Pakistan
Palau,Palau,https://en.wikipedia.org/wiki/Palau
Panama,Panama,https://en.wikipedia.org/wiki/Panama
Papua New Guinea,Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Paraguay,Paraguay,https://en.wikipedia.org/wiki/Paraguay
Peru,Peru,https://en.wikipedia.org/wiki/Peru
Philippines,Philippines,https://en.wikipedia.org/wiki/Philippines
Poland,Poland,https://en.wikipedia.org/wiki/Poland
Portugal,Portugal,https://en.wikipedia.org/wiki/Portugal
Qatar,Qatar,https://en.wikipedia.org/wiki/Qatar
Romania,Romania,https://en.wikipedia.org/wiki/Romania
Russia,Russia,https://en.wikipedia.org/wiki/Russia
Rwanda,Rwanda,https://en.wikipedia.org/wiki/Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint Lucia,Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Samoa,Samoa,https://en.wikipedia.org/wiki/Samoa
San Marino,San Marino,https://en.wikipedia.org/wiki/San_Marino
Sao Tome and Principe,Sao Tome and Principe,https://en.wikipedia.org/wiki/Sao_Tome_and_Principe
Saudi Arabia,Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal,Senegal,https://en.wikipedia.org/wiki/Senegal
Serbia,Serbia,https://en.wikipedia.org/wiki/Serbia
Seychelles,Seychelles,https://en.wikipedia.org/wiki/Seychelles
Sierra Leone,Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Singapore,Singapore,https://en.wikipedia.org/wiki/Singapore
Slovakia,Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,Slovenia,https://en.wikipedia.org/wiki/Slovenia
Solomon Islands,Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Somalia,Somalia,https://en.wikipedia.org/wiki/Somalia
South Africa,South Africa,https://en.wikipedia.org/wiki/South_Africa
South Korea,South Korea,https://en.wikipedia.org/wiki/South_Korea
South Sudan,South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Spain,Spain,https://en.wikipedia.org/wiki/Spain
Sri Lanka,Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Sudan,Sudan,https://en.wikipedia.org/wiki/Sudan
Suriname,Suriname,https://en.wikipedia.org/wiki/Suriname
Sweden,Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,Switzerland,https://en.wikipedia.org/wiki/Switzerland
Syria,Syria,https://en.wikipedia.org/wiki/Syria
Tajikistan,Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Tanzania,Tanzania,https://en.wikipedia.org/wiki/Tanzania
Thailand,Thailand,https://en.wikipedia.org/wiki/Thailand
Timor-Leste,Timor-Leste,https://en.wikipedia.org/wiki/Timor-Leste
Togo,Togo,https://en.wikipedia.org/wiki/Togo
Tonga,Tonga,https://en.wikipedia.org/wiki/Tonga
Trinidad and Tobago,Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Tunisia,Tunisia,https://en.wikipedia.org/wiki/Tunisia
Turkey,Turkey,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Tuvalu,Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Uganda,Uganda,https://en.wikipedia.org/wiki/Uganda
Ukraine,Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Arab Emirates,United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
United Kingdom,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,United States,https://en.wikipedia.org/wiki/United_States
Uruguay,Uruguay,https://en.wikipedia.org/wiki/Uruguay
Uzbekistan,Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Vanuatu,Vanuatu,https://en.wikipedia.org/wiki/Vanuatu
Vatican City,Vatican City,https://en.wikipedia.org/wiki/Vatican_City
Venezuela,Venezuela,https://en.wikipedia.org/wiki/Venezuela
Vietnam,Vietnam,https://en.wikipedia.org/wiki/Vietnam
Yemen,Yemen,https://en.wikipedia.org/wiki/Yemen
Zambia,Zambia,https://en.wikipedia.org/wiki/Zambia
Zimbabwe,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
